old_cityID,X,Y,country,state,city
944,-114.9193873,52.37588783,Canada,Alberta,Rocky Mountain House
1001,39.7543545,38.26966161,T¨¹rkiye,Diyarbak?r,Ergani
1096,-2.757696508,48.17373002,France,Brittany,Loud¨¦ac
1143,-113.9553204,52.02235437,Canada,Alberta,Innisfail
1193,26.64588088,50.33568893,Ukraine,Khmelnytskyi Oblast,Netishyn
1228,-112.7135752,52.32124972,Canada,Alberta,Stettler
1253,23.5033561,53.40433593,Poland,Podlaskie Voivodeship,Majewo
1265,-3.972426919,37.71348643,Spain,Andalusia,Martos
1279,-66.8125644,-28.55806349,Argentina,La Rioja Province,Aimogasta
1299,121.6722696,41.04710647,China,Liaoning,Panjin
1334,119.604821,45.4121371,China,Inner Mongolia,Tongliao
1350,-2.15395563,39.20360474,Spain,Castile-La Mancha,La Roda
1356,-98.27878236,30.58421217,United States,Texas,Meadowlakes
1360,5.11001301,44.10761601,France,Provence-Alpes-C?te d'Azur,Mod¨¨ne
1375,88.85853277,43.15254954,China,Xinjiang,Turpan
1402,-115.6745882,54.13674276,Canada,Alberta,Whitecourt
1473,102.8591833,36.50576702,China,Gansu,Lanzhou
1493,40.73178782,51.11324454,Russia,Voronezh Oblast,Talovaya
1557,-97.10949888,43.99986791,United States,South Dakota,Madison
1562,59.10439913,37.44460182,Iran,Razavi Khorasan Province,Dargaz
1575,-99.09947268,38.18156811,United States,Kansas,Larned
1585,15.38264665,41.68501111,Italy,Apulia,San Severo
1607,-4.909533804,41.31113421,Spain,Castile and Le¨®n,Medina del Campo
1612,75.22949431,30.26584953,India,Punjab,Rampura Phul
1615,128.8282855,47.84958276,China,Heilongjiang,Yichun
1620,-80.75252506,36.7538532,United States,Virginia,Hillsville
1621,-94.37785447,42.01827965,United States,Iowa,Jefferson
1657,128.9107429,43.11042164,China,Jilin,Yanbian Korean Autonomous Prefecture
1694,-93.26729199,42.51929426,United States,Iowa,Iowa Falls
1703,-81.77200713,34.00830011,United States,South Carolina,Saluda
1707,-76.01791844,44.89746618,Canada,Ontario,Smiths Falls
1730,-110.5719184,45.65723098,United States,Montana,Livingston
1799,85.86945745,47.43402937,China,Xinjiang,Altay Prefecture
1825,125.6176267,45.71601175,China,Heilongjiang,Daqing
1830,-123.8359492,45.4608391,United States,Oregon,Tillamook
1851,-79.68526905,47.51383009,Canada,Ontario,Temiskaming Shores
1854,-99.37227567,40.4414093,United States,Nebraska,Holdrege
1861,-2.5986044,39.26984417,Spain,Castile-La Mancha,Villarrobledo
1865,112.7263726,33.44454821,China,Henan,Nanyang
1888,-123.410312,47.00237166,United States,Washington,Elma
1905,-94.22797629,43.07371422,United States,Iowa,Algona
1907,-3.370941208,39.00370243,Spain,Castile-La Mancha,Manzanares
